description,category
Staircase railing loose and unsafe.,Building Department
Sewer pipeline clogged completely.,Sewerage Department
Road surface cracked and uneven.,Road Department
Waste accumulation causing mosquito breeding.,Sanitation Department
railing on the staircase is broken and dangerous.,Building Department
Sewage leaking into nearby houses.,Sewerage Department
Current pole damaged and sparking.,Electric Department
Sewage leaking into nearby houses.,Sewerage Department
Low water pressure in all houses.,Water Supply Department
Manhole cover missing and cars getting stuck.,Road Department
Potholes filled with water after rain.,Road Department
"Electric  cables  exposed,  risky  for  pedestrians.  please  resolve  urgently.",Electric Department
Tap water muddy and smells bad.,Water Supply Department
waste accumulation causing mosquito breeding.,Sanitation Department
no water supply since morning.,Water Supply Department
Sewage backflow in washrooms.,Sewerage Department
underground sewerage pipe damaged.,Sewerage Department
Balcony railing rusted and may break.,Building Department
Street lights have been off for the past week.,Electric Department
uncollected garbage creating foul smell.,Sanitation Department
"Speed bump too high, damaging cars.",Road Department
Sewage water stagnating near road.,Sewerage Department
road divider damaged in an accident. please resolve urgently.,Road Department
No water supply since morning.,Water Supply Department
speed breakers are not marked properly and vehicles are slipping.,Road Department
manhole cover broken and unsafe.,Sewerage Department
Pillar has developed major cracks after rain.,Building Department
Tap connection broken causing leakage. please resolve urgently.,Water Supply Department
Open sewer line giving foul smell.,Sewerage Department
loose electric wires hanging near the road.,Electric Department
No water supply since morning.,Water Supply Department
Dirty sewer water entering shops after rain.,Sewerage Department
balcony railing rusted and may break. please resolve urgently.,Building Department
Manhole overflowing with sewage water.,Sewerage Department
drain overflows every time it rains.,Sanitation Department
Waste accumulation causing mosquito breeding.,Sanitation Department
Dustbins overflowing and attracting flies. please resolve urgently.,Sanitation Department
manhole cover broken and unsafe.,Sewerage Department
"roadside  barrier  broken,  safety  concern.",Road Department
Drain clogged and water stagnating.,Sanitation Department
Dustbins overflowing and attracting flies. please resolve urgently.,Sanitation Department
Dustbins overflowing and attracting flies. please resolve urgently.,Sanitation Department
Water pipes leaking heavily and flooding the area.,Water Supply Department
Road divider damaged in an accident. please resolve urgently.,Road Department
Structural damage visible on the outer wall.,Building Department
Garbage has not been collected for several days.,Sanitation Department
ceiling plaster falling off in the hallway. please resolve urgently.,Building Department
Drainage water overflowing in the street. please resolve urgently.,Sanitation Department
manhole cover missing and cars getting stuck.,Road Department
low  water  pressure  in  all  houses.,Water Supply Department
Sewage water stagnating near road.,Sewerage Department
Tap connection broken causing leakage. please resolve urgently.,Water Supply Department
"speed bump too high, damaging cars.",Road Department
underground sewerage pipe damaged.,Sewerage Department
Roof leakage worsening due to heavy rain.,Building Department
Roof leakage worsening due to heavy rain.,Building Department
ceiling plaster falling off in the hallway.,Building Department
Road divider damaged in an accident.,Road Department
Ceiling plaster falling off in the hallway.,Building Department
Loose electric wires hanging near the road.,Electric Department
Drain clogged and water stagnating.,Sanitation Department
building foundation showing signs of sinking. please resolve urgently.,Building Department
Building  foundation  showing  signs  of  sinking.,Building Department
water flow extremely low despite full pressure.,Water Supply Department
Balcony railing rusted and may break. please resolve urgently.,Building Department
Drain overflows every time it rains. please resolve urgently.,Sanitation Department
No water supply since morning.,Water Supply Department
main pipeline leak creating swamp.,Water Supply Department
Road surface cracked and uneven.,Road Department
Drain clogged and water stagnating. please resolve urgently.,Sanitation Department
pipeline damaged during road work.,Water Supply Department
Water pipes leaking heavily and flooding the area.,Water Supply Department
Open sewer line giving foul smell.,Sewerage Department
Electricity supply unstable with voltage drops.,Electric Department
Water supply interrupted for two days.,Water Supply Department
Manhole overflowing with sewage water. please resolve urgently.,Sewerage Department
power outage since early morning due to faulty wires.,Electric Department
Street lights have been off for the past week.,Electric Department
Roof leakage worsening due to heavy rain.,Building Department
Manhole cover broken and unsafe.,Sewerage Department
sewer pipeline clogged completely.,Sewerage Department
electricity supply unstable with voltage drops.,Electric Department
"Garbage dumped on roadside, health hazard.",Sanitation Department
uncollected garbage creating foul smell.,Sanitation Department
Sewer line blocked causing overflow.,Sewerage Department
Current pole damaged and sparking.,Electric Department
Tap water muddy and smells bad.,Water Supply Department
Drain clogged and water stagnating.,Sanitation Department
electricity supply unstable with voltage drops.,Electric Department
Pillar has developed major cracks after rain.,Building Department
Sewage leaking into nearby houses.,Sewerage Department
Manhole overflowing with sewage water.,Sewerage Department
Tap connection broken causing leakage.,Water Supply Department
"roadside barrier broken, safety concern.",Road Department
"Electric cables exposed, risky for pedestrians.",Electric Department
Water flow extremely low despite full pressure.,Water Supply Department
Faded  lane  markings  causing  confusion.,Road Department
Water pipes leaking heavily and flooding the area.,Water Supply Department
Wall near staircase damaged and unstable.,Building Department
drain overflows every time it rains.,Sanitation Department
underground  sewerage  pipe  damaged.  please  resolve  urgently.,Sewerage Department
Dirty sewer water entering shops after rain.,Sewerage Department
"Street light bulb fused, area dark at night. please resolve urgently.",Electric Department
sewage  leaking  into  nearby  houses.,Sewerage Department
Dirty sewer water entering shops after rain.,Sewerage Department
Electric pole leaning dangerously after storm.,Electric Department
Electric  pole  leaning  dangerously  after  storm.,Electric Department
Underground sewerage pipe damaged.,Sewerage Department
uncollected garbage creating foul smell.,Sanitation Department
Manhole cover missing and cars getting stuck.,Road Department
Faded lane markings causing confusion.,Road Department
manhole cover missing and cars getting stuck.,Road Department
Faded lane markings causing confusion.,Road Department
Speed breakers are not marked properly and vehicles are slipping.,Road Department
Staircase railing loose and unsafe. please resolve urgently.,Building Department
"Street light bulb fused, area dark at night.",Electric Department
Manhole cover missing and cars getting stuck.,Road Department
Loose electric wires hanging near the road.,Electric Department
Drain overflows every time it rains.,Sanitation Department
Water pipes leaking heavily and flooding the area. please resolve urgently.,Water Supply Department
Electric pole leaning dangerously after storm.,Electric Department
Dirty sewer water entering shops after rain.,Sewerage Department
manhole cover broken and unsafe. please resolve urgently.,Sewerage Department
Tap connection broken causing leakage.,Water Supply Department
Uncollected garbage creating foul smell.,Sanitation Department
Pillar has developed major cracks after rain.,Building Department
"roadside barrier broken, safety concern.",Road Department
Tap connection broken causing leakage.,Water Supply Department
Pipeline damaged during road work.,Water Supply Department
Waste accumulation causing mosquito breeding.,Sanitation Department
loose electric wires hanging near the road.,Electric Department
manhole overflowing with sewage water.,Sewerage Department
Current pole damaged and sparking.,Electric Department
Manhole  cover  broken  and  unsafe.,Sewerage Department
pipeline  damaged  during  road  work.,Water Supply Department
"Electric cables exposed, risky for pedestrians.",Electric Department
"transformer overloaded, making loud noise.",Electric Department
Pipeline burst causing water wastage.,Water Supply Department
manhole cover broken and unsafe. please resolve urgently.,Sewerage Department
Road divider damaged in an accident.,Road Department
pipeline burst causing water wastage.,Water Supply Department
Uncollected garbage creating foul smell.,Sanitation Department
Dirty sewer water entering shops after rain. please resolve urgently.,Sewerage Department
Tap  water  muddy  and  smells  bad.  please  resolve  urgently.,Water Supply Department
Road  full  of  potholes  causing  damage  to  vehicles.,Road Department
Tap connection broken causing leakage.,Water Supply Department
Speed  breakers  are  not  marked  properly  and  vehicles  are  slipping.,Road Department
Garbage has not been collected for several days.,Sanitation Department
Sewage  water  stagnating  near  road.  please  resolve  urgently.,Sewerage Department
tap water muddy and smells bad.,Water Supply Department
Dirty sewer water entering shops after rain.,Sewerage Department
pillar has developed major cracks after rain.,Building Department
electric pole leaning dangerously after storm. please resolve urgently.,Electric Department
open sewer line giving foul smell.,Sewerage Department
Tap connection broken causing leakage.,Water Supply Department
Staircase railing loose and unsafe. please resolve urgently.,Building Department
Water pipes leaking heavily and flooding the area.,Water Supply Department
"Street light bulb fused, area dark at night.",Electric Department
Current pole damaged and sparking. please resolve urgently.,Electric Department
street lights have been off for the past week.,Electric Department
Tap connection broken causing leakage.,Water Supply Department
Drain clogged and water stagnating.,Sanitation Department
Transformer burst causing power outage.,Electric Department
Drain overflows every time it rains.,Sanitation Department
water pipes leaking heavily and flooding the area.,Water Supply Department
Road surface cracked and uneven.,Road Department
Current pole damaged and sparking.,Electric Department
Current pole damaged and sparking.,Electric Department
Low water pressure in all houses.,Water Supply Department
water pipes leaking heavily and flooding the area.,Water Supply Department
"Speed  bump  too  high,  damaging  cars.",Road Department
Open sewer line giving foul smell.,Sewerage Department
Main pipeline leak creating swamp.,Water Supply Department
"Roadside barrier broken, safety concern.",Road Department
Loose electric wires hanging near the road.,Electric Department
Power outage since early morning due to faulty wires.,Electric Department
Road divider damaged in an accident.,Road Department
Sewage backflow in washrooms.,Sewerage Department
Structural damage visible on the outer wall.,Building Department
Tap connection broken causing leakage.,Water Supply Department
structural damage visible on the outer wall. please resolve urgently.,Building Department
Sewage backflow in washrooms.,Sewerage Department
Waste blocking the drainage system. please resolve urgently.,Sanitation Department
roof leakage worsening due to heavy rain.,Building Department
Manhole overflowing with sewage water.,Sewerage Department
Drain clogged and water stagnating.,Sanitation Department
"garbage dumped on roadside, health hazard.",Sanitation Department
Pipeline burst causing water wastage.,Water Supply Department
Pillar has developed major cracks after rain.,Building Department
Drain clogged and water stagnating.,Sanitation Department
Drain clogged and water stagnating.,Sanitation Department
"transformer overloaded, making loud noise. please resolve urgently.",Electric Department
Ceiling plaster falling off in the hallway.,Building Department
Tap water muddy and smells bad.,Water Supply Department
Waste accumulation causing mosquito breeding.,Sanitation Department
Cracks appearing on the walls of the building.,Building Department
No water supply since morning.,Water Supply Department
Sewage leaking into nearby houses. please resolve urgently.,Sewerage Department
Open sewer line giving foul smell.,Sewerage Department
faded lane markings causing confusion.,Road Department
Railing on the staircase is broken and dangerous.,Building Department
water  flow  extremely  low  despite  full  pressure.,Water Supply Department
Sewer pipeline clogged completely. please resolve urgently.,Sewerage Department
Pillar has developed major cracks after rain.,Building Department
Railing on the staircase is broken and dangerous.,Building Department
Electricity supply unstable with voltage drops.,Electric Department
Staircase railing loose and unsafe.,Building Department
Pillar has developed major cracks after rain.,Building Department
"garbage dumped on roadside, health hazard. please resolve urgently.",Sanitation Department
drain clogged and water stagnating.,Sanitation Department
railing on the staircase is broken and dangerous.,Building Department
Drain overflows every time it rains.,Sanitation Department
Tap water muddy and smells bad.,Water Supply Department
"Electric cables exposed, risky for pedestrians.",Electric Department
Water flow extremely low despite full pressure. please resolve urgently.,Water Supply Department
Manhole  cover  broken  and  unsafe.  please  resolve  urgently.,Sewerage Department
Dustbins overflowing and attracting flies.,Sanitation Department
Underground sewerage pipe damaged.,Sewerage Department
Sewage backflow in washrooms.,Sewerage Department
Footpath broken and unsafe for walking.,Road Department
Building foundation showing signs of sinking.,Building Department
balcony railing rusted and may break.,Building Department
wall  near  staircase  damaged  and  unstable.,Building Department
uncollected  garbage  creating  foul  smell.  please  resolve  urgently.,Sanitation Department
Manhole cover missing and cars getting stuck.,Road Department
cracks appearing on the walls of the building.,Building Department
Pipeline damaged during road work. please resolve urgently.,Water Supply Department
"Electric cables exposed, risky for pedestrians. please resolve urgently.",Electric Department
"Roadside barrier broken, safety concern.",Road Department
Railing  on  the  staircase  is  broken  and  dangerous.,Building Department
footpath broken and unsafe for walking. please resolve urgently.,Road Department
Wall  near  staircase  damaged  and  unstable.,Building Department
Footpath  broken  and  unsafe  for  walking.,Road Department
Power outage since early morning due to faulty wires.,Electric Department
drainage  water  entering  houses  after  rain.,Sanitation Department
Faded lane markings causing confusion.,Road Department
Water pipes leaking heavily and flooding the area.,Water Supply Department
Staircase railing loose and unsafe.,Building Department
Tap water muddy and smells bad.,Water Supply Department
dirty  sewer  water  entering  shops  after  rain.,Sewerage Department
drain overflows every time it rains.,Sanitation Department
Sewage backflow in washrooms.,Sewerage Department
Cracks appearing on the walls of the building.,Building Department
waste accumulation causing mosquito breeding.,Sanitation Department
Footpath  broken  and  unsafe  for  walking.,Road Department
Electricity  supply  unstable  with  voltage  drops.  please  resolve  urgently.,Electric Department
Building  foundation  showing  signs  of  sinking.,Building Department
pillar has developed major cracks after rain. please resolve urgently.,Building Department
Tap connection broken causing leakage.,Water Supply Department
Electric pole leaning dangerously after storm.,Electric Department
Railing on the staircase is broken and dangerous.,Building Department
Pillar has developed major cracks after rain. please resolve urgently.,Building Department
main  pipeline  leak  creating  swamp.,Water Supply Department
drainage water overflowing in the street. please resolve urgently.,Sanitation Department
current pole damaged and sparking.,Electric Department
Sewer pipeline clogged completely.,Sewerage Department
Current pole damaged and sparking.,Electric Department
wall near staircase damaged and unstable.,Building Department
Dustbins overflowing and attracting flies.,Sanitation Department
"speed bump too high, damaging cars. please resolve urgently.",Road Department
"garbage dumped on roadside, health hazard.",Sanitation Department
Road full of potholes causing damage to vehicles.,Road Department
"Transformer overloaded, making loud noise.",Electric Department
tap  water  muddy  and  smells  bad.,Water Supply Department
Railing on the staircase is broken and dangerous.,Building Department
Street lights have been off for the past week.,Electric Department
Drain clogged and water stagnating.,Sanitation Department
Manhole overflowing with sewage water.,Sewerage Department
Electric pole leaning dangerously after storm.,Electric Department
Pipeline burst causing water wastage.,Water Supply Department
Road surface cracked and uneven.,Road Department
Garbage has not been collected for several days.,Sanitation Department
drainage  water  overflowing  in  the  street.,Sanitation Department
Faded lane markings causing confusion.,Road Department
Manhole cover broken and unsafe.,Sewerage Department
Pipeline burst causing water wastage.,Water Supply Department
Water flow extremely low despite full pressure.,Water Supply Department
sewage water stagnating near road.,Sewerage Department
Transformer burst causing power outage. please resolve urgently.,Electric Department
Building foundation showing signs of sinking.,Building Department
Sewage water stagnating near road.,Sewerage Department
road surface cracked and uneven.,Road Department
Tap water muddy and smells bad.,Water Supply Department
Drain overflows every time it rains.,Sanitation Department
Water flow extremely low despite full pressure.,Water Supply Department
Waste blocking the drainage system.,Sanitation Department
"Street light bulb fused, area dark at night. please resolve urgently.",Electric Department
sewage water stagnating near road.,Sewerage Department
Pillar has developed major cracks after rain.,Building Department
drain overflows every time it rains.,Sanitation Department
"Transformer overloaded, making loud noise.",Electric Department
Water supply interrupted for two days.,Water Supply Department
"Electric cables exposed, risky for pedestrians.",Electric Department
Road surface cracked and uneven.,Road Department
"roadside barrier broken, safety concern. please resolve urgently.",Road Department
"Electric cables exposed, risky for pedestrians.",Electric Department
Potholes filled with water after rain.,Road Department
ceiling plaster falling off in the hallway.,Building Department
Transformer burst causing power outage.,Electric Department
Faded lane markings causing confusion.,Road Department
Transformer burst causing power outage.,Electric Department
No water supply since morning.,Water Supply Department
Underground sewerage pipe damaged. please resolve urgently.,Sewerage Department
Speed breakers are not marked properly and vehicles are slipping.,Road Department
Open sewer line giving foul smell. please resolve urgently.,Sewerage Department
waste accumulation causing mosquito breeding.,Sanitation Department
manhole cover missing and cars getting stuck.,Road Department
Railing on the staircase is broken and dangerous.,Building Department
Underground sewerage pipe damaged.,Sewerage Department
Sewage  backflow  in  washrooms.,Sewerage Department
electric pole leaning dangerously after storm. please resolve urgently.,Electric Department
Waste accumulation causing mosquito breeding.,Sanitation Department
pillar  has  developed  major  cracks  after  rain.,Building Department
Structural damage visible on the outer wall.,Building Department
Roof leakage worsening due to heavy rain. please resolve urgently.,Building Department
Wall near staircase damaged and unstable.,Building Department
manhole  cover  broken  and  unsafe.,Sewerage Department
Sewage water stagnating near road. please resolve urgently.,Sewerage Department
Low water pressure in all houses. please resolve urgently.,Water Supply Department
Loose electric wires hanging near the road.,Electric Department
Road divider damaged in an accident.,Road Department
"Roadside barrier broken, safety concern.",Road Department
Manhole overflowing with sewage water.,Sewerage Department
Ceiling plaster falling off in the hallway.,Building Department
"Electric cables exposed, risky for pedestrians.",Electric Department
Sewer pipeline clogged completely.,Sewerage Department
Manhole overflowing with sewage water.,Sewerage Department
Low water pressure in all houses. please resolve urgently.,Water Supply Department
Manhole cover missing and cars getting stuck.,Road Department
Potholes filled with water after rain.,Road Department
Tap water muddy and smells bad. please resolve urgently.,Water Supply Department
manhole cover broken and unsafe.,Sewerage Department
No water supply since morning. please resolve urgently.,Water Supply Department
Uncollected  garbage  creating  foul  smell.,Sanitation Department
Garbage has not been collected for several days. please resolve urgently.,Sanitation Department
"Roadside barrier broken, safety concern.",Road Department
Balcony railing rusted and may break.,Building Department
Sewage leaking into nearby houses.,Sewerage Department
Drain  clogged  and  water  stagnating.,Sanitation Department
Sewage water stagnating near road.,Sewerage Department
Drainage water entering houses after rain.,Sanitation Department
transformer burst causing power outage.,Electric Department
Uncollected garbage creating foul smell.,Sanitation Department
Tap water muddy and smells bad.,Water Supply Department
power outage since early morning due to faulty wires.,Electric Department
Loose  electric  wires  hanging  near  the  road.,Electric Department
manhole cover missing and cars getting stuck.,Road Department
Electric pole leaning dangerously after storm.,Electric Department
Pipeline damaged during road work.,Water Supply Department
Water pipes leaking heavily and flooding the area. please resolve urgently.,Water Supply Department
Sewage water stagnating near road.,Sewerage Department
Balcony railing rusted and may break.,Building Department
Pipeline damaged during road work. please resolve urgently.,Water Supply Department
Staircase railing loose and unsafe.,Building Department
Waste  accumulation  causing  mosquito  breeding.,Sanitation Department
Ceiling plaster falling off in the hallway.,Building Department
Ceiling plaster falling off in the hallway.,Building Department
Water flow extremely low despite full pressure.,Water Supply Department
water pipes leaking heavily and flooding the area.,Water Supply Department
No water supply since morning. please resolve urgently.,Water Supply Department
Road divider damaged in an accident.,Road Department
Water flow extremely low despite full pressure. please resolve urgently.,Water Supply Department
Power  outage  since  early  morning  due  to  faulty  wires.  please  resolve  urgently.,Electric Department
Tap connection broken causing leakage.,Water Supply Department
Tap connection broken causing leakage. please resolve urgently.,Water Supply Department
Sewer line blocked causing overflow. please resolve urgently.,Sewerage Department
Drain overflows every time it rains.,Sanitation Department
Road full of potholes causing damage to vehicles.,Road Department
pipeline burst causing water wastage. please resolve urgently.,Water Supply Department
Road full of potholes causing damage to vehicles.,Road Department
Water flow extremely low despite full pressure.,Water Supply Department
Sewer pipeline clogged completely.,Sewerage Department
"Street light bulb fused, area dark at night.",Electric Department
Ceiling  plaster  falling  off  in  the  hallway.,Building Department
Wall near staircase damaged and unstable. please resolve urgently.,Building Department
Street lights have been off for the past week.,Electric Department
"Garbage dumped on roadside, health hazard. please resolve urgently.",Sanitation Department
"Roadside barrier broken, safety concern.",Road Department
Manhole cover missing and cars getting stuck.,Road Department
drain clogged and water stagnating.,Sanitation Department
drainage  water  overflowing  in  the  street.,Sanitation Department
Sewage leaking into nearby houses. please resolve urgently.,Sewerage Department
power outage since early morning due to faulty wires.,Electric Department
Street lights have been off for the past week.,Electric Department
Manhole cover missing and cars getting stuck.,Road Department
Garbage  has  not  been  collected  for  several  days.,Sanitation Department
waste accumulation causing mosquito breeding.,Sanitation Department
Roof leakage worsening due to heavy rain.,Building Department
Water supply interrupted for two days.,Water Supply Department
Underground sewerage pipe damaged.,Sewerage Department
"Transformer overloaded, making loud noise.",Electric Department
Garbage has not been collected for several days.,Sanitation Department
street lights have been off for the past week.,Electric Department
structural damage visible on the outer wall.,Building Department
Wall near staircase damaged and unstable.,Building Department
Drainage water overflowing in the street.,Sanitation Department
uncollected garbage creating foul smell. please resolve urgently.,Sanitation Department
Drainage water overflowing in the street.,Sanitation Department
Pipeline damaged during road work. please resolve urgently.,Water Supply Department
Low  water  pressure  in  all  houses.,Water Supply Department
Pipeline damaged during road work. please resolve urgently.,Water Supply Department
Current pole damaged and sparking.,Electric Department
sewage backflow in washrooms.,Sewerage Department
Water flow extremely low despite full pressure.,Water Supply Department
"Street light bulb fused, area dark at night.",Electric Department
Drainage water overflowing in the street.,Sanitation Department
Sewer line blocked causing overflow.,Sewerage Department
faded lane markings causing confusion. please resolve urgently.,Road Department
Pillar has developed major cracks after rain.,Building Department
Road divider damaged in an accident. please resolve urgently.,Road Department
Footpath broken and unsafe for walking. please resolve urgently.,Road Department
Open sewer line giving foul smell.,Sewerage Department
Pipeline damaged during road work.,Water Supply Department
Manhole overflowing with sewage water.,Sewerage Department
"Street light bulb fused, area dark at night.",Electric Department
underground  sewerage  pipe  damaged.,Sewerage Department
Building foundation showing signs of sinking.,Building Department
Electric pole leaning dangerously after storm.,Electric Department
Staircase railing loose and unsafe.,Building Department
Staircase railing loose and unsafe.,Building Department
Sewage leaking into nearby houses.,Sewerage Department
roof leakage worsening due to heavy rain. please resolve urgently.,Building Department
Road divider damaged in an accident.,Road Department
Pipeline damaged during road work. please resolve urgently.,Water Supply Department
Wall  near  staircase  damaged  and  unstable.,Building Department
Pipeline burst causing water wastage.,Water Supply Department
Wall near staircase damaged and unstable.,Building Department
electric pole leaning dangerously after storm.,Electric Department
tap  connection  broken  causing  leakage.,Water Supply Department
Drainage water overflowing in the street.,Sanitation Department
road full of potholes causing damage to vehicles. please resolve urgently.,Road Department
Drainage water entering houses after rain. please resolve urgently.,Sanitation Department
manhole cover missing and cars getting stuck.,Road Department
"Transformer overloaded, making loud noise.",Electric Department
Loose  electric  wires  hanging  near  the  road.,Electric Department
Railing on the staircase is broken and dangerous.,Building Department
Tap  connection  broken  causing  leakage.,Water Supply Department
No water supply since morning.,Water Supply Department
Uncollected garbage creating foul smell.,Sanitation Department
speed breakers are not marked properly and vehicles are slipping.,Road Department
Potholes filled with water after rain.,Road Department
building foundation showing signs of sinking. please resolve urgently.,Building Department
Garbage has not been collected for several days.,Sanitation Department
Sewage backflow in washrooms.,Sewerage Department
Speed breakers are not marked properly and vehicles are slipping.,Road Department
Building foundation showing signs of sinking.,Building Department
current pole damaged and sparking.,Electric Department
Sewage  backflow  in  washrooms.,Sewerage Department
sewage backflow in washrooms. please resolve urgently.,Sewerage Department
speed breakers are not marked properly and vehicles are slipping.,Road Department
balcony railing rusted and may break.,Building Department
Potholes filled with water after rain.,Road Department
Ceiling plaster falling off in the hallway. please resolve urgently.,Building Department
Staircase railing loose and unsafe.,Building Department
Drainage water overflowing in the street.,Sanitation Department
"Roadside  barrier  broken,  safety  concern.",Road Department
Water flow extremely low despite full pressure. please resolve urgently.,Water Supply Department
"Roadside barrier broken, safety concern.",Road Department
Electric pole leaning dangerously after storm.,Electric Department
"Electric cables exposed, risky for pedestrians.",Electric Department
Railing  on  the  staircase  is  broken  and  dangerous.,Building Department
Water pipes leaking heavily and flooding the area.,Water Supply Department
"Speed bump too high, damaging cars.",Road Department
Footpath broken and unsafe for walking. please resolve urgently.,Road Department
Potholes filled with water after rain. please resolve urgently.,Road Department
Road surface cracked and uneven.,Road Department
Transformer burst causing power outage.,Electric Department
Power outage since early morning due to faulty wires.,Electric Department
Railing on the staircase is broken and dangerous.,Building Department
Power outage since early morning due to faulty wires.,Electric Department
Road divider damaged in an accident.,Road Department
Dirty sewer water entering shops after rain.,Sewerage Department
Current pole damaged and sparking.,Electric Department
Drainage water overflowing in the street.,Sanitation Department
Water flow extremely low despite full pressure. please resolve urgently.,Water Supply Department
Transformer  burst  causing  power  outage.,Electric Department
Tap water muddy and smells bad.,Water Supply Department
Sewage backflow in washrooms.,Sewerage Department
Waste accumulation causing mosquito breeding.,Sanitation Department
footpath broken and unsafe for walking.,Road Department
Sewer line blocked causing overflow.,Sewerage Department
Manhole cover broken and unsafe.,Sewerage Department
Drain  overflows  every  time  it  rains.,Sanitation Department
no water supply since morning.,Water Supply Department
Manhole cover missing and cars getting stuck.,Road Department
Transformer burst causing power outage. please resolve urgently.,Electric Department
Tap connection broken causing leakage.,Water Supply Department
Road divider damaged in an accident.,Road Department
Waste accumulation causing mosquito breeding.,Sanitation Department
Garbage has not been collected for several days.,Sanitation Department
sewage leaking into nearby houses.,Sewerage Department
Water supply interrupted for two days.,Water Supply Department
Electric pole leaning dangerously after storm.,Electric Department
transformer burst causing power outage.,Electric Department
Wall near staircase damaged and unstable. please resolve urgently.,Building Department
Sewer  line  blocked  causing  overflow.,Sewerage Department
Tap water muddy and smells bad.,Water Supply Department
Water pipes leaking heavily and flooding the area.,Water Supply Department
"Garbage dumped on roadside, health hazard.",Sanitation Department
"Speed bump too high, damaging cars.",Road Department
"Roadside barrier broken, safety concern.",Road Department
Manhole cover broken and unsafe.,Sewerage Department
water pipes leaking heavily and flooding the area.,Water Supply Department
railing on the staircase is broken and dangerous.,Building Department
Structural damage visible on the outer wall. please resolve urgently.,Building Department
Ceiling plaster falling off in the hallway.,Building Department
Tap water muddy and smells bad.,Water Supply Department
Ceiling plaster falling off in the hallway.,Building Department
Drainage water entering houses after rain.,Sanitation Department
Waste  blocking  the  drainage  system.,Sanitation Department
structural damage visible on the outer wall.,Building Department
"Street light bulb fused, area dark at night.",Electric Department
pipeline burst causing water wastage.,Water Supply Department
Pipeline damaged during road work.,Water Supply Department
"Electric cables exposed, risky for pedestrians.",Electric Department
"Speed  bump  too  high,  damaging  cars.",Road Department
Underground sewerage pipe damaged.,Sewerage Department
Faded lane markings causing confusion.,Road Department
sewer pipeline clogged completely.,Sewerage Department
garbage has not been collected for several days. please resolve urgently.,Sanitation Department
Staircase railing loose and unsafe.,Building Department
Sewage leaking into nearby houses.,Sewerage Department
railing on the staircase is broken and dangerous.,Building Department
Drainage water overflowing in the street.,Sanitation Department
Low water pressure in all houses.,Water Supply Department
Open sewer line giving foul smell.,Sewerage Department
Faded lane markings causing confusion.,Road Department
Road full of potholes causing damage to vehicles. please resolve urgently.,Road Department
Cracks appearing on the walls of the building.,Building Department
Drainage water entering houses after rain.,Sanitation Department
Sewage backflow in washrooms.,Sewerage Department
Wall near staircase damaged and unstable.,Building Department
Ceiling plaster falling off in the hallway.,Building Department
Electricity supply unstable with voltage drops.,Electric Department
Sewage water stagnating near road.,Sewerage Department
"Garbage  dumped  on  roadside,  health  hazard.",Sanitation Department
Structural damage visible on the outer wall.,Building Department
Ceiling plaster falling off in the hallway. please resolve urgently.,Building Department
Power outage since early morning due to faulty wires. please resolve urgently.,Electric Department
Loose electric wires hanging near the road.,Electric Department
Drain clogged and water stagnating. please resolve urgently.,Sanitation Department
Manhole cover broken and unsafe.,Sewerage Department
Low water pressure in all houses.,Water Supply Department
Open sewer line giving foul smell.,Sewerage Department
Tap water muddy and smells bad. please resolve urgently.,Water Supply Department
Sewage leaking into nearby houses.,Sewerage Department
Drainage water entering houses after rain.,Sanitation Department
Waste accumulation causing mosquito breeding.,Sanitation Department
Pipeline burst causing water wastage.,Water Supply Department
"transformer overloaded, making loud noise.",Electric Department
"Speed bump too high, damaging cars.",Road Department
Manhole cover missing and cars getting stuck.,Road Department
Sewer line blocked causing overflow.,Sewerage Department
Waste accumulation causing mosquito breeding.,Sanitation Department
Structural damage visible on the outer wall.,Building Department
Sewer pipeline clogged completely. please resolve urgently.,Sewerage Department
Waste  blocking  the  drainage  system.,Sanitation Department
Water supply interrupted for two days.,Water Supply Department
Tap connection broken causing leakage.,Water Supply Department
pipeline damaged during road work.,Water Supply Department
Staircase railing loose and unsafe. please resolve urgently.,Building Department
manhole overflowing with sewage water.,Sewerage Department
Potholes filled with water after rain.,Road Department
Water supply interrupted for two days.,Water Supply Department
Dirty sewer water entering shops after rain.,Sewerage Department
"speed bump too high, damaging cars.",Road Department
Manhole cover missing and cars getting stuck.,Road Department
Waste blocking the drainage system.,Sanitation Department
"Electric cables exposed, risky for pedestrians.",Electric Department
Loose electric wires hanging near the road.,Electric Department
structural damage visible on the outer wall. please resolve urgently.,Building Department
Water pipes leaking heavily and flooding the area.,Water Supply Department
Structural damage visible on the outer wall.,Building Department
Electricity supply unstable with voltage drops.,Electric Department
Power outage since early morning due to faulty wires. please resolve urgently.,Electric Department
Road surface cracked and uneven.,Road Department
"Speed  bump  too  high,  damaging  cars.",Road Department
Pipeline damaged during road work.,Water Supply Department
current pole damaged and sparking. please resolve urgently.,Electric Department
Wall near staircase damaged and unstable.,Building Department
No  water  supply  since  morning.,Water Supply Department
Building  foundation  showing  signs  of  sinking.,Building Department
Road full of potholes causing damage to vehicles.,Road Department
Balcony railing rusted and may break.,Building Department
Waste accumulation causing mosquito breeding.,Sanitation Department
Footpath broken and unsafe for walking.,Road Department
dustbins overflowing and attracting flies.,Sanitation Department
Footpath  broken  and  unsafe  for  walking.,Road Department
Underground sewerage pipe damaged.,Sewerage Department
