description,category
"Electric transformer making loud noise, possible fire risk.",Electric Department
Pipeline leakage near valve leading to water loss. please resolve this issue soon.,Water Supply Department
Waste dumped openly on roadside attracting animals.,Sanitation Department
Foul smell coming from underground sewerage system.,Sewerage Department
Road damaged badly due to heavy traffic and rain.,Road Department
"street cleaning not done for a week, garbage everywhere.",Sanitation Department
Low  water  pressure  in  our  area  since  yesterday.,Water Supply Department
The ceiling in our apartment is about to collapse.,Building Department
There is a power outage in our area since morning.,Electric Department
Cracks have appeared on the wall of the community building.,Building Department
there is a power outage in our area since morning.,Electric Department
Waste dumped openly on roadside attracting animals. please resolve this issue soon.,Sanitation Department
No water supply in the colony since morning.,Water Supply Department
Power supply interrupted due to damaged electric pole.,Electric Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
Transformer burst causing short circuit and power failure.,Electric Department
Street lights are not working in our colony. please resolve this issue soon.,Electric Department
transformer burst causing short circuit and power failure. please resolve this issue soon.,Electric Department
Tap  water  supply  irregular  since  last  week.,Water Supply Department
Road damaged badly due to heavy traffic and rain.,Road Department
Sewage backflow inside homes during rainfall.,Sewerage Department
Building under construction without safety barricades.,Building Department
Water supply working fine with good pressure.,Water Supply Department
Electric poles damaged due to storm.,Electric Department
Building structure showing deep cracks after heavy rain.,Building Department
Newly built road already showing cracks and uneven surface.,Road Department
Water pipeline burst near main road causing wastage.,Water Supply Department
building under construction without safety barricades.,Building Department
The ceiling in our apartment is about to collapse.,Building Department
Road damaged badly due to heavy traffic and rain. please resolve this issue soon.,Road Department
Sewer pipeline damaged causing leakages.,Sewerage Department
Electric poles damaged due to storm.,Electric Department
Sewage leaking from pipeline near footpath.,Sewerage Department
transformer burst causing short circuit and power failure.,Electric Department
Drainage line blocked with plastic and debris.,Sanitation Department
Water coming muddy and not suitable for drinking.,Water Supply Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
The  garbage  truck  hasn’t  come  for  three  days.,Sanitation Department
Electric poles damaged due to storm.,Electric Department
"House foundation damaged, wall tilting slightly.",Building Department
"Building wall broken after storm, debris blocking entrance.",Building Department
Building under construction without safety barricades.,Building Department
"Underground sewage clogged, foul smell spreading.",Sewerage Department
Sewage backflow inside homes during rainfall.,Sewerage Department
power supply interrupted due to damaged electric pole.,Electric Department
Sewage leaking from pipeline near footpath.,Sewerage Department
Water pipeline burst near main road causing wastage.,Water Supply Department
potholes filled with water causing vehicle skidding.,Road Department
The roof of the building is leaking during rainfall.,Building Department
Drainage line blocked with plastic and debris. please resolve this issue soon.,Sanitation Department
drainage water stagnating and breeding mosquitoes.,Sanitation Department
drainage line blocked with plastic and debris.,Sanitation Department
Sewage  leaking  from  pipeline  near  footpath.,Sewerage Department
"Drainage system clogged, water overflowing onto road.",Sanitation Department
Drainage water stagnating and breeding mosquitoes. please resolve this issue soon.,Sanitation Department
electric wires snapped and lying on the road.,Electric Department
Wires hanging dangerously near the electric pole.,Electric Department
Electric poles damaged due to storm. please resolve this issue soon.,Electric Department
"No electricity since last night, transformer seems burnt.",Electric Department
Road condition is good after repair.,Road Department
"Electric transformer making loud noise, possible fire risk. please resolve this issue soon.",Electric Department
The drainage is overflowing due to heavy rain.,Sanitation Department
Water coming muddy and not suitable for drinking.,Water Supply Department
Sewage  backflow  inside  homes  during  rainfall.,Sewerage Department
Uncollected garbage making the area unhygienic.,Sanitation Department
"Drainage system clogged, water overflowing onto road. please resolve this issue soon.",Sanitation Department
Water supply disrupted due to pump malfunction.,Water Supply Department
Sewage leaking from pipeline near footpath.,Sewerage Department
Waste  dumped  openly  on  roadside  attracting  animals.,Sanitation Department
Uncollected  garbage  making  the  area  unhygienic.,Sanitation Department
"Footpath broken near school, pedestrians facing difficulty.",Road Department
"footpath broken near school, pedestrians facing difficulty.",Road Department
"Drainage  system  clogged,  water  overflowing  onto  road.",Sanitation Department
Power supply interrupted due to damaged electric pole.,Electric Department
Manhole overflowing with sewage water on street.,Sewerage Department
Uncollected garbage making the area unhygienic.,Sanitation Department
Waste dumped openly on roadside attracting animals.,Sanitation Department
road damaged badly due to heavy traffic and rain. please resolve this issue soon.,Road Department
Water supply disrupted due to pump malfunction.,Water Supply Department
"Water pressure too low, unable to fill tank.",Water Supply Department
The garbage truck hasn’t come for three days.,Sanitation Department
Potholes filled with water causing vehicle skidding.,Road Department
"Street cleaning not done for a week, garbage everywhere.",Sanitation Department
Drainage water stagnating and breeding mosquitoes.,Sanitation Department
"Footpath broken near school, pedestrians facing difficulty.",Road Department
The road near the hospital has large potholes.,Road Department
"Road full of potholes, needs immediate repair.",Road Department
uncollected garbage making the area unhygienic.,Sanitation Department
Low water pressure in our area since yesterday.,Water Supply Department
Road repair work incomplete for several weeks.,Road Department
"House  foundation  damaged,  wall  tilting  slightly.",Building Department
Power  supply  interrupted  due  to  damaged  electric  pole.,Electric Department
Drainage water stagnating and breeding mosquitoes.,Sanitation Department
"Old  flat  wall  plaster  has  fallen  off,  unsafe  for  residents.",Building Department
"Open  manhole  near  park,  dangerous  for  children.",Sewerage Department
Drainage water stagnating and breeding mosquitoes.,Sanitation Department
No water in tank even after scheduled supply time.,Water Supply Department
Sewer line overflowing and spreading dirty water.,Sewerage Department
"Street cleaning not done for a week, garbage everywhere.",Sanitation Department
"Water pressure too low, unable to fill tank.",Water Supply Department
The road near the hospital has large potholes.,Road Department
Cracks have appeared on the wall of the community building.,Building Department
"Street cleaning not done for a week, garbage everywhere.",Sanitation Department
No water supply in the colony since morning. please resolve this issue soon.,Water Supply Department
"Plaster peeling from walls, building looks unsafe.",Building Department
Electric wires snapped and lying on the road.,Electric Department
water supply disrupted due to pump malfunction.,Water Supply Department
Building under construction without safety barricades. please resolve this issue soon.,Building Department
the roof of the building is leaking during rainfall. please resolve this issue soon.,Building Department
Electric wires snapped and lying on the road. please resolve this issue soon.,Electric Department
Holes on road making it dangerous for vehicles. please resolve this issue soon.,Road Department
Transformer burst causing short circuit and power failure.,Electric Department
The roof of the building is leaking during rainfall.,Building Department
Electric poles damaged due to storm.,Electric Department
cracks have appeared on the wall of the community building.,Building Department
"Drinking water contaminated, smells bad.",Water Supply Department
Drainage water stagnating and breeding mosquitoes.,Sanitation Department
No water supply in the colony since morning.,Water Supply Department
Water pipeline burst near main road causing wastage.,Water Supply Department
Holes on road making it dangerous for vehicles.,Road Department
Building under construction without safety barricades.,Building Department
No water supply in the colony since morning.,Water Supply Department
"Sewerage water mixing with rainwater, causing pollution.",Sewerage Department
Blocked sewer line needs urgent cleaning.,Sewerage Department
Sewage  leaking  from  pipeline  near  footpath.,Sewerage Department
"Electric transformer making loud noise, possible fire risk. please resolve this issue soon.",Electric Department
Water supply working fine with good pressure.,Water Supply Department
Pipeline  leakage  near  valve  leading  to  water  loss.,Water Supply Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
"Water pressure too low, unable to fill tank.",Water Supply Department
Street lights are not working in our colony. please resolve this issue soon.,Electric Department
No water in tank even after scheduled supply time.,Water Supply Department
Sewer line overflowing and spreading dirty water.,Sewerage Department
Holes on road making it dangerous for vehicles.,Road Department
Water supply working fine with good pressure.,Water Supply Department
"Water pressure too low, unable to fill tank.",Water Supply Department
uncollected  garbage  making  the  area  unhygienic.,Sanitation Department
Building structure showing deep cracks after heavy rain.,Building Department
Sewer  line  overflowing  and  spreading  dirty  water.,Sewerage Department
Water supply disrupted due to pump malfunction.,Water Supply Department
"Water pressure too low, unable to fill tank.",Water Supply Department
Road condition is good after repair.,Road Department
the roof of the building is leaking during rainfall.,Building Department
Road damaged badly due to heavy traffic and rain.,Road Department
"Underground sewage clogged, foul smell spreading. please resolve this issue soon.",Sewerage Department
No water in tank even after scheduled supply time. please resolve this issue soon.,Water Supply Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
Water coming muddy and not suitable for drinking.,Water Supply Department
Building structure showing deep cracks after heavy rain.,Building Department
Building under construction without safety barricades.,Building Department
Blocked sewer line needs urgent cleaning. please resolve this issue soon.,Sewerage Department
Sewer line overflowing and spreading dirty water.,Sewerage Department
"Drinking water contaminated, smells bad.",Water Supply Department
"Drinking water contaminated, smells bad.",Water Supply Department
The ceiling in our apartment is about to collapse.,Building Department
Building structure showing deep cracks after heavy rain.,Building Department
"Footpath broken near school, pedestrians facing difficulty.",Road Department
Foul smell coming from underground sewerage system.,Sewerage Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
Water  supply  disrupted  due  to  pump  malfunction.,Water Supply Department
"Footpath broken near school, pedestrians facing difficulty.",Road Department
Blocked sewer line needs urgent cleaning. please resolve this issue soon.,Sewerage Department
"Footpath broken near school, pedestrians facing difficulty.",Road Department
Blocked sewer line needs urgent cleaning.,Sewerage Department
Cracks have appeared on the wall of the community building.,Building Department
"House foundation damaged, wall tilting slightly.",Building Department
Power supply interrupted due to damaged electric pole. please resolve this issue soon.,Electric Department
Newly  built  road  already  showing  cracks  and  uneven  surface.,Road Department
Water supply disrupted due to pump malfunction.,Water Supply Department
Electric wires snapped and lying on the road.,Electric Department
"drinking water contaminated, smells bad.",Water Supply Department
There is a power outage in our area since morning.,Electric Department
"Sewerage water mixing with rainwater, causing pollution.",Sewerage Department
Power  supply  interrupted  due  to  damaged  electric  pole.,Electric Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
Water  coming  muddy  and  not  suitable  for  drinking.,Water Supply Department
"Street cleaning not done for a week, garbage everywhere.",Sanitation Department
Drainage  water  stagnating  and  breeding  mosquitoes.,Sanitation Department
"Electric transformer making loud noise, possible fire risk.",Electric Department
Sewer pipeline damaged causing leakages. please resolve this issue soon.,Sewerage Department
Potholes on main road causing accidents during rain.,Road Department
"House foundation damaged, wall tilting slightly.",Building Department
Damaged footpath blocking safe walking area.,Road Department
Building  structure  showing  deep  cracks  after  heavy  rain.,Building Department
Tap water supply irregular since last week.,Water Supply Department
Drainage line blocked with plastic and debris.,Sanitation Department
"Footpath broken near school, pedestrians facing difficulty. please resolve this issue soon.",Road Department
"Water pressure too low, unable to fill tank.",Water Supply Department
"No  electricity  since  last  night,  transformer  seems  burnt.",Electric Department
Building structure showing deep cracks after heavy rain.,Building Department
"Sewerage water mixing with rainwater, causing pollution.",Sewerage Department
Road repair work incomplete for several weeks.,Road Department
"Footpath broken near school, pedestrians facing difficulty.",Road Department
"Road full of potholes, needs immediate repair.",Road Department
Road damaged badly due to heavy traffic and rain.,Road Department
Current  fluctuation  damaging  home  appliances.,Electric Department
"House foundation damaged, wall tilting slightly.",Building Department
Cracks have appeared on the wall of the community building. please resolve this issue soon.,Building Department
Building under construction without safety barricades.,Building Department
Manhole overflowing with sewage water on street.,Sewerage Department
Street  lights  are  not  working  in  our  colony.,Electric Department
Water supply working fine with good pressure.,Water Supply Department
Foul smell coming from underground sewerage system.,Sewerage Department
Sewage leaking from pipeline near footpath.,Sewerage Department
"Building wall broken after storm, debris blocking entrance.",Building Department
Building structure showing deep cracks after heavy rain.,Building Department
New house construction encroaching on public property.,Building Department
Power supply interrupted due to damaged electric pole.,Electric Department
Sewage leaking from pipeline near footpath.,Sewerage Department
Drainage line blocked with plastic and debris.,Sanitation Department
"water pressure too low, unable to fill tank.",Water Supply Department
Sewer line overflowing and spreading dirty water.,Sewerage Department
Transformer burst causing short circuit and power failure.,Electric Department
electric  wires  snapped  and  lying  on  the  road.,Electric Department
"Underground sewage clogged, foul smell spreading.",Sewerage Department
"No electricity since last night, transformer seems burnt.",Electric Department
Street lights are not working in our colony.,Electric Department
Potholes filled with water causing vehicle skidding.,Road Department
Power supply interrupted due to damaged electric pole.,Electric Department
Pipeline  leakage  near  valve  leading  to  water  loss.,Water Supply Department
Sewage leaking from pipeline near footpath.,Sewerage Department
The ceiling in our apartment is about to collapse.,Building Department
"Sewerage water mixing with rainwater, causing pollution.",Sewerage Department
Sewer  pipeline  damaged  causing  leakages. please resolve this issue soon.,Sewerage Department
Foul smell coming from underground sewerage system.,Sewerage Department
"house foundation damaged, wall tilting slightly.",Building Department
The ceiling in our apartment is about to collapse.,Building Department
"Open manhole near park, dangerous for children.",Sewerage Department
Drainage line blocked with plastic and debris.,Sanitation Department
Blocked  sewer  line  needs  urgent  cleaning.,Sewerage Department
the drainage is overflowing due to heavy rain.,Sanitation Department
Tap water supply irregular since last week.,Water Supply Department
The road near the hospital has large potholes.,Road Department
Drainage  line  blocked  with  plastic  and  debris.,Sanitation Department
Road damaged badly due to heavy traffic and rain.,Road Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
The ceiling in our apartment is about to collapse.,Building Department
"Drainage system clogged, water overflowing onto road.",Sanitation Department
"Underground sewage clogged, foul smell spreading.",Sewerage Department
drainage water stagnating and breeding mosquitoes.,Sanitation Department
Potholes on main road causing accidents during rain.,Road Department
"Sewerage water mixing with rainwater, causing pollution.",Sewerage Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
Manhole  overflowing  with  sewage  water  on  street.,Sewerage Department
Transformer burst causing short circuit and power failure. please resolve this issue soon.,Electric Department
"Electric  transformer  making  loud  noise,  possible  fire  risk.",Electric Department
Manhole overflowing with sewage water on street.,Sewerage Department
"Sewer lines cleaned recently, no overflow seen.",Sewerage Department
Waste dumped openly on roadside attracting animals.,Sanitation Department
Sewage leaking from pipeline near footpath.,Sewerage Department
"No electricity since last night, transformer seems burnt.",Electric Department
"Street cleaning not done for a week, garbage everywhere.",Sanitation Department
No water supply in the colony since morning.,Water Supply Department
building structure showing deep cracks after heavy rain.,Building Department
"Footpath  broken  near  school,  pedestrians  facing  difficulty.",Road Department
"Building wall broken after storm, debris blocking entrance.",Building Department
"Sewer lines cleaned recently, no overflow seen.",Sewerage Department
Drainage water stagnating and breeding mosquitoes. please resolve this issue soon.,Sanitation Department
Transformer  burst  causing  short  circuit  and  power  failure.,Electric Department
The garbage truck hasn’t come for three days.,Sanitation Department
The garbage truck hasn’t come for three days.,Sanitation Department
Transformer burst causing short circuit and power failure.,Electric Department
Road damaged badly due to heavy traffic and rain. please resolve this issue soon.,Road Department
No water in tank even after scheduled supply time.,Water Supply Department
There is a power outage in our area since morning.,Electric Department
The road near the hospital has large potholes.,Road Department
"No power cut in our area, transformer stable.",Electric Department
"sewerage water mixing with rainwater, causing pollution.",Sewerage Department
Road condition is good after repair.,Road Department
"Sewerage water mixing with rainwater, causing pollution. please resolve this issue soon.",Sewerage Department
Low  water  pressure  in  our  area  since  yesterday.,Water Supply Department
Street lights are not working in our colony.,Electric Department
Electric wires snapped and lying on the road.,Electric Department
no water in tank even after scheduled supply time.,Water Supply Department
"Drinking water contaminated, smells bad.",Water Supply Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
No water in tank even after scheduled supply time.,Water Supply Department
No water supply in the colony since morning.,Water Supply Department
"Water pressure too low, unable to fill tank.",Water Supply Department
Building  under  construction  without  safety  barricades.,Building Department
Current fluctuation damaging home appliances.,Electric Department
Building under construction without safety barricades.,Building Department
Tap water supply irregular since last week.,Water Supply Department
The drainage is overflowing due to heavy rain.,Sanitation Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
Blocked sewer line needs urgent cleaning.,Sewerage Department
"Footpath broken near school, pedestrians facing difficulty.",Road Department
"Plaster peeling from walls, building looks unsafe.",Building Department
"House foundation damaged, wall tilting slightly.",Building Department
sewage leaking from pipeline near footpath.,Sewerage Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
Tap water supply irregular since last week.,Water Supply Department
Cracks  have  appeared  on  the  wall  of  the  community  building.,Building Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
Sewer pipeline damaged causing leakages.,Sewerage Department
Newly  built  road  already  showing  cracks  and  uneven  surface.,Road Department
"Water  pressure  too  low,  unable  to  fill  tank.",Water Supply Department
Sewage backflow inside homes during rainfall. please resolve this issue soon.,Sewerage Department
"House foundation damaged, wall tilting slightly.",Building Department
Wires hanging dangerously near the electric pole.,Electric Department
Current fluctuation damaging home appliances.,Electric Department
"Underground sewage clogged, foul smell spreading.",Sewerage Department
"Building structure fine, no cracks visible.",Building Department
"Footpath broken near school, pedestrians facing difficulty.",Road Department
No water supply in the colony since morning.,Water Supply Department
the garbage truck hasn’t come for three days.,Sanitation Department
"Footpath broken near school, pedestrians facing difficulty.",Road Department
Drainage water stagnating and breeding mosquitoes.,Sanitation Department
Water pipeline burst near main road causing wastage.,Water Supply Department
"Drainage  system  clogged,  water  overflowing  onto  road.",Sanitation Department
Road condition is good after repair.,Road Department
Road damaged badly due to heavy traffic and rain.,Road Department
The ceiling in our apartment is about to collapse.,Building Department
"Open  manhole  near  park,  dangerous  for  children.",Sewerage Department
Low water pressure in our area since yesterday.,Water Supply Department
New house construction encroaching on public property.,Building Department
The roof of the building is leaking during rainfall. please resolve this issue soon.,Building Department
The road near the hospital has large potholes.,Road Department
Tap water supply irregular since last week.,Water Supply Department
Water pipeline burst near main road causing wastage.,Water Supply Department
Street lights are not working in our colony.,Electric Department
"No electricity since last night, transformer seems burnt.",Electric Department
"open manhole near park, dangerous for children.",Sewerage Department
"House foundation damaged, wall tilting slightly.",Building Department
"Old flat wall plaster has fallen off, unsafe for residents. please resolve this issue soon.",Building Department
Road repair work incomplete for several weeks.,Road Department
"Street  cleaning  not  done  for  a  week,  garbage  everywhere.",Sanitation Department
Wires hanging dangerously near the electric pole.,Electric Department
sewage backflow inside homes during rainfall. please resolve this issue soon.,Sewerage Department
"Open manhole near park, dangerous for children. please resolve this issue soon.",Sewerage Department
water supply disrupted due to pump malfunction.,Water Supply Department
Water supply disrupted due to pump malfunction. please resolve this issue soon.,Water Supply Department
The  roof  of  the  building  is  leaking  during  rainfall.,Building Department
Holes on road making it dangerous for vehicles.,Road Department
There is a power outage in our area since morning.,Electric Department
"Open manhole near park, dangerous for children.",Sewerage Department
Potholes filled with water causing vehicle skidding. please resolve this issue soon.,Road Department
Sewage leaking from pipeline near footpath.,Sewerage Department
Potholes filled with water causing vehicle skidding.,Road Department
Tap  water  supply  irregular  since  last  week.,Water Supply Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
The ceiling in our apartment is about to collapse.,Building Department
Blocked sewer line needs urgent cleaning.,Sewerage Department
"Sewerage water mixing with rainwater, causing pollution. please resolve this issue soon.",Sewerage Department
Building under construction without safety barricades.,Building Department
"Open manhole near park, dangerous for children.",Sewerage Department
Blocked sewer line needs urgent cleaning.,Sewerage Department
The garbage truck hasn’t come for three days.,Sanitation Department
"overflowing bins near market area, needs cleaning.",Sanitation Department
"Open manhole near park, dangerous for children.",Sewerage Department
The  roof  of  the  building  is  leaking  during  rainfall.,Building Department
"House foundation damaged, wall tilting slightly. please resolve this issue soon.",Building Department
Electric poles damaged due to storm.,Electric Department
Potholes filled with water causing vehicle skidding.,Road Department
The drainage is overflowing due to heavy rain.,Sanitation Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
"Open manhole near park, dangerous for children.",Sewerage Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
Building structure showing deep cracks after heavy rain.,Building Department
The ceiling in our apartment is about to collapse.,Building Department
Blocked sewer line needs urgent cleaning.,Sewerage Department
"House foundation damaged, wall tilting slightly.",Building Department
Wires hanging dangerously near the electric pole.,Electric Department
Building under construction without safety barricades.,Building Department
Sewer line overflowing and spreading dirty water.,Sewerage Department
Street  lights  are  not  working  in  our  colony. please resolve this issue soon.,Electric Department
Sewage leaking from pipeline near footpath.,Sewerage Department
"Sewerage water mixing with rainwater, causing pollution.",Sewerage Department
Building structure showing deep cracks after heavy rain.,Building Department
"Building wall broken after storm, debris blocking entrance.",Building Department
Low  water  pressure  in  our  area  since  yesterday.,Water Supply Department
newly built road already showing cracks and uneven surface.,Road Department
sewage backflow inside homes during rainfall.,Sewerage Department
"Street cleaning not done for a week, garbage everywhere. please resolve this issue soon.",Sanitation Department
"Drinking water contaminated, smells bad.",Water Supply Department
"Building structure fine, no cracks visible.",Building Department
Drainage line blocked with plastic and debris.,Sanitation Department
The drainage is overflowing due to heavy rain.,Sanitation Department
Cracks have appeared on the wall of the community building.,Building Department
The drainage is overflowing due to heavy rain.,Sanitation Department
Water supply working fine with good pressure.,Water Supply Department
"Plaster peeling from walls, building looks unsafe.",Building Department
Sewer  line  overflowing  and  spreading  dirty  water.,Sewerage Department
Sewage leaking from pipeline near footpath.,Sewerage Department
Electric  poles  damaged  due  to  storm.,Electric Department
The drainage is overflowing due to heavy rain.,Sanitation Department
No water in tank even after scheduled supply time.,Water Supply Department
Wires hanging dangerously near the electric pole.,Electric Department
Manhole overflowing with sewage water on street. please resolve this issue soon.,Sewerage Department
"Road full of potholes, needs immediate repair.",Road Department
The garbage truck hasn’t come for three days.,Sanitation Department
Foul smell coming from underground sewerage system.,Sewerage Department
the drainage is overflowing due to heavy rain.,Sanitation Department
"footpath broken near school, pedestrians facing difficulty.",Road Department
"Drinking water contaminated, smells bad.",Water Supply Department
Potholes filled with water causing vehicle skidding.,Road Department
There is a power outage in our area since morning.,Electric Department
"Building wall broken after storm, debris blocking entrance.",Building Department
Building structure showing deep cracks after heavy rain.,Building Department
"Water pressure too low, unable to fill tank.",Water Supply Department
Tap water supply irregular since last week. please resolve this issue soon.,Water Supply Department
"Sewerage water mixing with rainwater, causing pollution.",Sewerage Department
There is a power outage in our area since morning.,Electric Department
Manhole overflowing with sewage water on street.,Sewerage Department
"Building structure fine, no cracks visible.",Building Department
Sewer pipeline damaged causing leakages.,Sewerage Department
Potholes filled with water causing vehicle skidding.,Road Department
"Water pressure too low, unable to fill tank.",Water Supply Department
Potholes  filled  with  water  causing  vehicle  skidding. please resolve this issue soon.,Road Department
"No electricity since last night, transformer seems burnt.",Electric Department
Cracks have appeared on the wall of the community building. please resolve this issue soon.,Building Department
"Open manhole near park, dangerous for children.",Sewerage Department
No  water  in  tank  even  after  scheduled  supply  time.,Water Supply Department
"Overflowing bins near market area, needs cleaning. please resolve this issue soon.",Sanitation Department
Potholes on main road causing accidents during rain.,Road Department
Holes on road making it dangerous for vehicles.,Road Department
Water  supply  disrupted  due  to  pump  malfunction.,Water Supply Department
The road near the hospital has large potholes.,Road Department
there is a power outage in our area since morning.,Electric Department
New house construction encroaching on public property.,Building Department
Damaged footpath blocking safe walking area. please resolve this issue soon.,Road Department
The road near the hospital has large potholes.,Road Department
wires hanging dangerously near the electric pole.,Electric Department
"Old flat wall plaster has fallen off, unsafe for residents.",Building Department
Newly built road already showing cracks and uneven surface.,Road Department
Drainage water stagnating and breeding mosquitoes.,Sanitation Department
Holes on road making it dangerous for vehicles.,Road Department
Water supply disrupted due to pump malfunction.,Water Supply Department
"Footpath broken near school, pedestrians facing difficulty. please resolve this issue soon.",Road Department
Electric poles damaged due to storm.,Electric Department
Holes on road making it dangerous for vehicles.,Road Department
Blocked sewer line needs urgent cleaning.,Sewerage Department
Sewage leaking from pipeline near footpath.,Sewerage Department
Electric wires snapped and lying on the road.,Electric Department
"Old flat wall plaster has fallen off, unsafe for residents.",Building Department
"Footpath broken near school, pedestrians facing difficulty. please resolve this issue soon.",Road Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
Building structure showing deep cracks after heavy rain.,Building Department
Water supply disrupted due to pump malfunction.,Water Supply Department
No water supply in the colony since morning.,Water Supply Department
"No garbage issue today, area looks clean.",Sanitation Department
Building  under  construction  without  safety  barricades.,Building Department
There is a power outage in our area since morning.,Electric Department
There is a power outage in our area since morning.,Electric Department
Wires hanging dangerously near the electric pole.,Electric Department
No water in tank even after scheduled supply time.,Water Supply Department
The garbage truck hasn’t come for three days.,Sanitation Department
New house construction encroaching on public property.,Building Department
No  water  supply  in  the  colony  since  morning.,Water Supply Department
Power supply interrupted due to damaged electric pole.,Electric Department
Building structure showing deep cracks after heavy rain. please resolve this issue soon.,Building Department
Power supply interrupted due to damaged electric pole. please resolve this issue soon.,Electric Department
drainage water stagnating and breeding mosquitoes.,Sanitation Department
Water pipeline burst near main road causing wastage.,Water Supply Department
The roof of the building is leaking during rainfall.,Building Department
Newly  built  road  already  showing  cracks  and  uneven  surface. please resolve this issue soon.,Road Department
pipeline leakage near valve leading to water loss.,Water Supply Department
Water pipeline burst near main road causing wastage.,Water Supply Department
Tap water supply irregular since last week.,Water Supply Department
Drainage water stagnating and breeding mosquitoes.,Sanitation Department
blocked sewer line needs urgent cleaning.,Sewerage Department
"Drainage system clogged, water overflowing onto road.",Sanitation Department
Building structure showing deep cracks after heavy rain.,Building Department
Cracks have appeared on the wall of the community building.,Building Department
"Sewerage water mixing with rainwater, causing pollution.",Sewerage Department
Transformer  burst  causing  short  circuit  and  power  failure.,Electric Department
Water coming muddy and not suitable for drinking.,Water Supply Department
"Sewer lines cleaned recently, no overflow seen.",Sewerage Department
Pipeline leakage near valve leading to water loss.,Water Supply Department
Blocked sewer line needs urgent cleaning. please resolve this issue soon.,Sewerage Department
"No power cut in our area, transformer stable.",Electric Department
Potholes on main road causing accidents during rain.,Road Department
"Water pressure too low, unable to fill tank.",Water Supply Department
"Water pressure too low, unable to fill tank.",Water Supply Department
Foul smell coming from underground sewerage system.,Sewerage Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
Road damaged badly due to heavy traffic and rain.,Road Department
Sewage backflow inside homes during rainfall.,Sewerage Department
Road damaged badly due to heavy traffic and rain.,Road Department
Water supply disrupted due to pump malfunction.,Water Supply Department
"No garbage issue today, area looks clean.",Sanitation Department
There is a power outage in our area since morning.,Electric Department
Water coming muddy and not suitable for drinking.,Water Supply Department
Tap water supply irregular since last week.,Water Supply Department
Drainage line blocked with plastic and debris.,Sanitation Department
"Overflowing bins near market area, needs cleaning. please resolve this issue soon.",Sanitation Department
The road near the hospital has large potholes.,Road Department
"Drainage system clogged, water overflowing onto road.",Sanitation Department
"old flat wall plaster has fallen off, unsafe for residents.",Building Department
"Underground sewage clogged, foul smell spreading. please resolve this issue soon.",Sewerage Department
Electric wires snapped and lying on the road.,Electric Department
Road repair work incomplete for several weeks.,Road Department
"Sewer lines cleaned recently, no overflow seen.",Sewerage Department
The roof of the building is leaking during rainfall.,Building Department
The roof of the building is leaking during rainfall.,Building Department
electric  poles  damaged  due  to  storm.,Electric Department
"Footpath broken near school, pedestrians facing difficulty.",Road Department
"Street cleaning not done for a week, garbage everywhere.",Sanitation Department
Tap  water  supply  irregular  since  last  week.,Water Supply Department
"Underground sewage clogged, foul smell spreading.",Sewerage Department
Waste dumped openly on roadside attracting animals.,Sanitation Department
Cracks have appeared on the wall of the community building.,Building Department
"House foundation damaged, wall tilting slightly. please resolve this issue soon.",Building Department
Wires hanging dangerously near the electric pole.,Electric Department
"Footpath broken near school, pedestrians facing difficulty.",Road Department
Holes on road making it dangerous for vehicles.,Road Department
"Drainage system clogged, water overflowing onto road.",Sanitation Department
"Old flat wall plaster has fallen off, unsafe for residents.",Building Department
Uncollected garbage making the area unhygienic. please resolve this issue soon.,Sanitation Department
Damaged footpath blocking safe walking area.,Road Department
Building under construction without safety barricades.,Building Department
Tap water supply irregular since last week.,Water Supply Department
"Electric transformer making loud noise, possible fire risk. please resolve this issue soon.",Electric Department
The drainage is overflowing due to heavy rain.,Sanitation Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
Electric wires snapped and lying on the road.,Electric Department
New house construction encroaching on public property.,Building Department
Low water pressure in our area since yesterday.,Water Supply Department
Current fluctuation damaging home appliances.,Electric Department
Foul smell coming from underground sewerage system.,Sewerage Department
Pipeline leakage near valve leading to water loss.,Water Supply Department
There is a power outage in our area since morning.,Electric Department
Low water pressure in our area since yesterday.,Water Supply Department
Water supply disrupted due to pump malfunction.,Water Supply Department
Current  fluctuation  damaging  home  appliances.,Electric Department
Water coming muddy and not suitable for drinking.,Water Supply Department
Newly built road already showing cracks and uneven surface.,Road Department
"Street cleaning not done for a week, garbage everywhere.",Sanitation Department
Water  pipeline  burst  near  main  road  causing  wastage.,Water Supply Department
